threshold,method,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,jacc_mean,jacc_std,exact_mean,exact_std,avg_p_mean,avg_p_std
0.4,CC,0.5113915343915342,0.0135297380936653,0.8279629629629627,0.0114710227155174,0.602245149911817,0.0138850592687824,0.4900211640211639,0.0111243977626471,0.1822222222222222,0.0038490017945974,2.5622222222222217,0.0342106762629793
0.4,Encoder,0.1249999999999999,0.0,1.0,0.0,0.2180219780219775,0.0,0.1249999999999999,0.0,0.0,0.0,12.0,0.0
0.4,KNN,0.4827777777777777,0.0,0.3577777777777777,0.0,0.3941111111111113,0.0,0.3508333333333333,0.0,0.2333333333333333,0.0,1.0233333333333334,0.0
0.4,ML,0.4700158730158731,0.0,0.9016666666666664,0.0,0.5831164021164028,0.0,0.4567433862433862,0.0,0.1333333333333333,0.0,3.24,0.0
0.4,MLkNN,0.7022222222222222,0.0,0.6444444444444445,0.0,0.6487777777777777,0.0,0.6028888888888888,0.0,0.4766666666666667,0.0,1.3166666666666669,0.0
0.4,Majority,0.10333333333333333,0.0,0.06944444444444445,0.0,0.07944444444444444,0.0,0.06944444444444445,0.0,0.043333333333333335,0.0,1.0,0.0
0.5,CC,0.5947222222222219,0.0081979747574298,0.774074074074074,0.0073981423538659,0.6475291005291005,0.0022663605976571,0.5609074074074072,0.0034076590084242,0.3122222222222222,0.0101835015443463,1.9877777777777776,0.0271484260508235
0.5,Encoder,0.6312037037037035,0.0434142525572291,0.9855555555555556,0.0016666666666665,0.7341058201058203,0.0332998077184764,0.6222222222222221,0.0431741735214381,0.2811111111111111,0.0650071221169336,2.623333333333333,0.2003330560175564
0.5,KNN,0.49,0.0,0.356111111111111,0.0,0.3972222222222224,0.0,0.356111111111111,0.0,0.2433333333333333,0.0,1.0,0.0
0.5,ML,0.6287777777777777,0.0,0.8055555555555555,0.0,0.676365079365079,0.0,0.5901111111111111,0.0,0.3333333333333333,0.0,2.066666666666667,0.0
0.5,MLkNN,0.7116666666666666,0.0,0.6033333333333334,0.0,0.6332222222222222,0.0,0.5919444444444444,0.0,0.4766666666666667,0.0,1.1733333333333331,0.0
0.5,Majority,0.10333333333333333,0.0,0.06944444444444445,0.0,0.07944444444444444,0.0,0.06944444444444445,0.0,0.043333333333333335,0.0,1.0,0.0
0.6,CC,0.6585185185185184,0.0165955271875811,0.717037037037037,0.0075427451312652,0.6604444444444444,0.0111709499800502,0.5939444444444443,0.0104546345089654,0.401111111111111,0.0107151675122143,1.5977777777777775,0.0302459057529247
0.6,Encoder,0.9816666666666668,0.0086602540378444,0.8724074074074076,0.0181074752087699,0.9042222222222224,0.0155209933499082,0.8637962962962963,0.0194768248905958,0.7422222222222222,0.0283496684937179,1.2266666666666666,0.0218581284143398
0.6,KNN,0.49,0.0,0.356111111111111,0.0,0.3972222222222224,0.0,0.356111111111111,0.0,0.2433333333333333,0.0,1.0,0.0
0.6,ML,0.7333333333333331,0.0,0.7144444444444443,0.0,0.7009047619047619,0.0,0.6472777777777776,0.0,0.4833333333333332,0.0,1.4433333333333334,0.0
0.6,MLkNN,0.7116666666666666,0.0,0.5916666666666667,0.0,0.627111111111111,0.0,0.5858333333333333,0.0,0.47,0.0,1.1466666666666667,0.0
0.6,Majority,0.10333333333333333,0.0,0.06944444444444445,0.0,0.07944444444444444,0.0,0.06944444444444445,0.0,0.043333333333333335,0.0,1.0,0.0
0.7,CC,0.702962962962963,0.0055648071115987,0.6637037037037038,0.0041697519441471,0.6591851851851851,0.004422631657949,0.6052592592592593,0.0029847003558131,0.4455555555555555,0.0038490017945975,1.3433333333333335,0.0115470053837925
0.7,Encoder,0.9877777777777776,0.0050917507721731,0.7727777777777781,0.0034694433324435,0.8388888888888878,0.0040061680838488,0.7727777777777781,0.0034694433324435,0.5911111111111111,0.0019245008972988,1.0,0.0
0.7,KNN,0.49,0.0,0.356111111111111,0.0,0.3972222222222224,0.0,0.356111111111111,0.0,0.2433333333333333,0.0,1.0,0.0
0.7,ML,0.7605555555555555,0.0,0.6361111111111113,0.0,0.6699999999999998,0.0,0.6170555555555557,0.0,0.4666666666666666,0.0,1.15,0.0
0.7,MLkNN,0.7138888888888889,0.0,0.5805555555555556,0.0,0.6216666666666666,0.0,0.5791666666666667,0.0,0.46,0.0,1.1133333333333333,0.0
0.7,Majority,0.10333333333333333,0.0,0.06944444444444445,0.0,0.07944444444444444,0.0,0.06944444444444445,0.0,0.043333333333333335,0.0,1.0,0.0
0.8,CC,0.7322222222222221,0.0138777733297742,0.6303703703703706,0.0031590226128207,0.6558888888888886,0.0073088817945304,0.6080000000000001,0.0079140833991931,0.4722222222222222,0.0107151675122143,1.1866666666666668,0.0240370085030932
0.8,Encoder,0.9877777777777776,0.0050917507721731,0.7727777777777781,0.0034694433324435,0.8388888888888878,0.0040061680838488,0.7727777777777781,0.0034694433324435,0.5911111111111111,0.0019245008972988,1.0,0.0
0.8,KNN,0.49,0.0,0.356111111111111,0.0,0.3972222222222224,0.0,0.356111111111111,0.0,0.2433333333333333,0.0,1.0,0.0
0.8,ML,0.7716666666666666,0.0,0.5866666666666668,0.0,0.6432222222222218,0.0,0.5850000000000001,0.0,0.4233333333333333,0.0,1.0066666666666666,0.0
0.8,MLkNN,0.7138888888888889,0.0,0.573888888888889,0.0,0.6172222222222221,0.0,0.5725,0.0,0.4466666666666666,0.0,1.0933333333333333,0.0
0.8,Majority,0.10333333333333333,0.0,0.06944444444444445,0.0,0.07944444444444444,0.0,0.06944444444444445,0.0,0.043333333333333335,0.0,1.0,0.0
0.9,CC,0.7494444444444444,0.0135742130254117,0.5903703703703705,0.0139036958108858,0.6379999999999997,0.0141111111111111,0.5866666666666669,0.0153080508149498,0.4455555555555555,0.0195315509236077,1.0455555555555556,0.0101835015443463
0.9,Encoder,0.9877777777777776,0.0050917507721731,0.7727777777777781,0.0034694433324435,0.8388888888888878,0.0040061680838488,0.7727777777777781,0.0034694433324435,0.5911111111111111,0.0019245008972988,1.0,0.0
0.9,KNN,0.49,0.0,0.356111111111111,0.0,0.3972222222222224,0.0,0.356111111111111,0.0,0.2433333333333333,0.0,1.0,0.0
0.9,ML,0.7733333333333333,0.0,0.5855555555555557,0.0,0.6433333333333329,0.0,0.5855555555555557,0.0,0.4266666666666667,0.0,1.0,0.0
0.9,MLkNN,0.7122222222222222,0.0,0.5661111111111112,0.0,0.6113333333333331,0.0,0.5650000000000001,0.0,0.4333333333333333,0.0,1.0666666666666669,0.0
0.9,Majority,0.10333333333333333,0.0,0.06944444444444445,0.0,0.07944444444444444,0.0,0.06944444444444445,0.0,0.043333333333333335,0.0,1.0,0.0
